symbol,timestamp,open,high,low,close,volume,trade_count,vwap
USL,2016-01-04 05:00:00+00:00,17.25,17.52,16.8,16.999,44512.0,134.0,17.134023
USL,2016-01-05 05:00:00+00:00,16.75,16.79,16.62,16.6222,24792.0,123.0,16.695859
USL,2016-01-06 05:00:00+00:00,16.22,16.3952,15.925,16.0,155769.0,414.0,16.060295
USL,2016-01-07 05:00:00+00:00,15.7,16.11,15.638,15.74,104874.0,409.0,15.789361
USL,2016-01-08 05:00:00+00:00,15.82,15.82,15.461,15.65,133642.0,402.0,15.649827
USL,2016-01-11 05:00:00+00:00,15.6,15.6,14.866,14.93,120256.0,372.0,15.062291
USL,2016-01-12 05:00:00+00:00,15.12,15.2,14.41,14.7,152369.0,486.0,14.709997
USL,2016-01-13 05:00:00+00:00,14.75,14.845,14.23,14.38,115271.0,474.0,14.453183
USL,2016-01-14 05:00:00+00:00,14.45,14.779,14.29,14.7,53955.0,263.0,14.518465
USL,2016-01-15 05:00:00+00:00,14.08,14.19,13.82,14.04,327652.0,836.0,14.002982
USL,2016-01-19 05:00:00+00:00,14.02,14.02,13.63,13.67,167853.0,674.0,13.797637
USL,2016-01-20 05:00:00+00:00,13.41,13.61,12.99,13.6,206567.0,826.0,13.271874
USL,2016-01-21 05:00:00+00:00,13.34,14.098,13.247,14.03,305299.0,956.0,13.72488
USL,2016-01-22 05:00:00+00:00,14.54,14.9,14.411,14.9,166923.0,547.0,14.591317
USL,2016-01-25 05:00:00+00:00,14.56,14.75,14.17,14.18,122059.0,384.0,14.427585
USL,2016-01-26 05:00:00+00:00,14.5,15.11,14.4097,14.66,131003.0,614.0,14.759364
USL,2016-01-27 05:00:00+00:00,14.66,15.35,14.54,15.02,171558.0,628.0,14.961215
USL,2016-01-28 05:00:00+00:00,15.8,15.8322,15.34,15.75,157591.0,660.0,15.592652
USL,2016-01-29 05:00:00+00:00,15.9,16.05,15.4587,15.88,148637.0,460.0,15.844183
USL,2016-02-01 05:00:00+00:00,15.55,15.55,15.13,15.17,104622.0,315.0,15.334537
USL,2016-02-02 05:00:00+00:00,14.72,14.9,14.52,14.65,175335.0,955.0,14.724969
USL,2016-02-03 05:00:00+00:00,15.03,15.53,14.59,15.53,250675.0,1095.0,15.157052
USL,2016-02-04 05:00:00+00:00,15.59,15.845,15.2,15.35,149232.0,674.0,15.520355
USL,2016-02-05 05:00:00+00:00,15.35,15.58,15.1072,15.25,257466.0,523.0,15.435869
USL,2016-02-08 05:00:00+00:00,15.15,15.2,14.75,14.89,225626.0,750.0,14.912951
USL,2016-02-09 05:00:00+00:00,14.69,14.81,13.87,14.12,389708.0,997.0,14.223311
USL,2016-02-10 05:00:00+00:00,14.0,14.44,13.9,14.03,383860.0,1219.0,14.103147
USL,2016-02-11 05:00:00+00:00,13.83,14.22,13.69,14.2,381307.0,1536.0,13.9392
USL,2016-02-12 05:00:00+00:00,14.33,14.83,14.12,14.57,214070.0,998.0,14.510643
USL,2016-02-16 05:00:00+00:00,14.89,14.89,14.23,14.4,476566.0,1502.0,14.483885
USL,2016-02-17 05:00:00+00:00,14.64,15.24,14.5,15.07,345921.0,1141.0,14.947423
USL,2016-02-18 05:00:00+00:00,15.39,15.39,14.78,14.81,208533.0,676.0,15.074872
USL,2016-02-19 05:00:00+00:00,14.87,14.95,14.45,14.65,203909.0,809.0,14.620457
USL,2016-02-22 05:00:00+00:00,15.14,15.2691,15.0,15.11,255714.0,538.0,15.092977
USL,2016-02-23 05:00:00+00:00,14.98,14.98,14.52,14.67,148207.0,512.0,14.662552
